transkribus_page,page_id,folio,image_filename,xml_file,doc_id,image_width,image_height,status,number_of_lines
1,108451406,194r,0001_Vat.gr.2228.pt.1_0393_fa_0194r.tif,0001_Vat.gr.2228.pt.1_0393_fa_0194r.xml,12866292,2174,2996,FINAL,42
2,108451425,194v,0002_Vat.gr.2228.pt.1_0394_fa_0194v.tif,0002_Vat.gr.2228.pt.1_0394_fa_0194v.xml,12866292,2174,2996,FINAL,43
3,108451386,195r,0003_Vat.gr.2228.pt.1_0395_fa_0195r.tif,0003_Vat.gr.2228.pt.1_0395_fa_0195r.xml,12866292,2174,2996,FINAL,43
4,108451426,195v,0004_Vat.gr.2228.pt.1_0396_fa_0195v.tif,0004_Vat.gr.2228.pt.1_0396_fa_0195v.xml,12866292,2174,2996,FINAL,45
5,108451407,196r,0005_Vat.gr.2228.pt.1_0397_fa_0196r.tif,0005_Vat.gr.2228.pt.1_0397_fa_0196r.xml,12866292,2174,2996,FINAL,42
6,108451408,196v,0006_Vat.gr.2228.pt.1_0398_fa_0196v.tif,0006_Vat.gr.2228.pt.1_0398_fa_0196v.xml,12866292,2174,2996,FINAL,45
7,108451427,197r,0007_Vat.gr.2228.pt.1_0399_fa_0197r.tif,0007_Vat.gr.2228.pt.1_0399_fa_0197r.xml,12866292,2174,2996,FINAL,45
8,108451409,197v,0008_Vat.gr.2228.pt.1_0400_fa_0197v.tif,0008_Vat.gr.2228.pt.1_0400_fa_0197v.xml,12866292,2174,2996,FINAL,44
9,108451410,198r,0009_Vat.gr.2228.pt.1_0401_fa_0198r.tif,0009_Vat.gr.2228.pt.1_0401_fa_0198r.xml,12866292,2174,2996,FINAL,43
10,108451428,198v,0010_Vat.gr.2228.pt.1_0402_fa_0198v.tif,0010_Vat.gr.2228.pt.1_0402_fa_0198v.xml,12866292,2174,2996,FINAL,43
11,108451411,199r,0011_Vat.gr.2228.pt.1_0403_fa_0199r.tif,0011_Vat.gr.2228.pt.1_0403_fa_0199r.xml,12866292,2174,2996,FINAL,44
12,108451387,199v,0012_Vat.gr.2228.pt.1_0404_fa_0199v.tif,0012_Vat.gr.2228.pt.1_0404_fa_0199v.xml,12866292,2174,2996,FINAL,44
13,108451412,200r,0013_Vat.gr.2228.pt.1_0405_fa_0200r.tif,0013_Vat.gr.2228.pt.1_0405_fa_0200r.xml,12866292,2174,2996,FINAL,43
14,108451388,200v,0014_Vat.gr.2228.pt.1_0406_fa_0200v.tif,0014_Vat.gr.2228.pt.1_0406_fa_0200v.xml,12866292,2174,2996,FINAL,41
15,108451413,201r,0015_Vat.gr.2228.pt.1_0407_fa_0201r.tif,0015_Vat.gr.2228.pt.1_0407_fa_0201r.xml,12866292,2174,2996,FINAL,43
16,108451414,201v,0016_Vat.gr.2228.pt.1_0408_fa_0201v.tif,0016_Vat.gr.2228.pt.1_0408_fa_0201v.xml,12866292,2174,2996,FINAL,44
17,108451389,202r,0017_Vat.gr.2228.pt.1_0409_fa_0202r.tif,0017_Vat.gr.2228.pt.1_0409_fa_0202r.xml,12866292,2174,2996,FINAL,42
18,108451415,202v,0018_Vat.gr.2228.pt.1_0410_fa_0202v.tif,0018_Vat.gr.2228.pt.1_0410_fa_0202v.xml,12866292,2174,2996,FINAL,43
19,108451390,203r,0019_Vat.gr.2228.pt.1_0411_fa_0203r.tif,0019_Vat.gr.2228.pt.1_0411_fa_0203r.xml,12866292,2174,2996,FINAL,42
20,108451416,203v,0020_Vat.gr.2228.pt.1_0412_fa_0203v.tif,0020_Vat.gr.2228.pt.1_0412_fa_0203v.xml,12866292,2174,2996,FINAL,44
21,108451417,204r,0021_Vat.gr.2228.pt.1_0413_fa_0204r.tif,0021_Vat.gr.2228.pt.1_0413_fa_0204r.xml,12866292,2174,2996,FINAL,43
22,108451391,204v,0022_Vat.gr.2228.pt.1_0414_fa_0204v.tif,0022_Vat.gr.2228.pt.1_0414_fa_0204v.xml,12866292,2174,2996,FINAL,42
23,108451418,205r,0023_Vat.gr.2228.pt.1_0415_fa_0205r.tif,0023_Vat.gr.2228.pt.1_0415_fa_0205r.xml,12866292,2174,2996,FINAL,43
24,108451392,205v,0024_Vat.gr.2228.pt.1_0416_fa_0205v.tif,0024_Vat.gr.2228.pt.1_0416_fa_0205v.xml,12866292,2174,2996,FINAL,41
25,108451419,206r,0025_Vat.gr.2228.pt.1_0417_fa_0206r.tif,0025_Vat.gr.2228.pt.1_0417_fa_0206r.xml,12866292,2174,2996,FINAL,40
26,108451420,206v,0026_Vat.gr.2228.pt.1_0418_fa_0206v.tif,0026_Vat.gr.2228.pt.1_0418_fa_0206v.xml,12866292,2174,2996,FINAL,40
27,108451393,207r,0027_Vat.gr.2228.pt.1_0419_fa_0207r.tif,0027_Vat.gr.2228.pt.1_0419_fa_0207r.xml,12866292,2174,2996,FINAL,43
28,108451421,207v,0028_Vat.gr.2228.pt.1_0420_fa_0207v.tif,0028_Vat.gr.2228.pt.1_0420_fa_0207v.xml,12866292,2174,2996,FINAL,42
29,108451429,208r,0029_Vat.gr.2228.pt.1_0421_fa_0208r.tif,0029_Vat.gr.2228.pt.1_0421_fa_0208r.xml,12866292,2174,2996,FINAL,41
30,108451422,208v,0030_Vat.gr.2228.pt.1_0422_fa_0208v.tif,0030_Vat.gr.2228.pt.1_0422_fa_0208v.xml,12866292,2174,2996,FINAL,42
31,108451430,209r,0031_Vat.gr.2228.pt.1_0423_fa_0209r.tif,0031_Vat.gr.2228.pt.1_0423_fa_0209r.xml,12866292,2174,2996,FINAL,43
32,108451423,209v,0032_Vat.gr.2228.pt.1_0424_fa_0209v.tif,0032_Vat.gr.2228.pt.1_0424_fa_0209v.xml,12866292,2174,2996,FINAL,43
33,108451424,210r,0033_Vat.gr.2228.pt.1_0425_fa_0210r.tif,0033_Vat.gr.2228.pt.1_0425_fa_0210r.xml,12866292,2174,2996,FINAL,42
34,108451431,210v,0034_Vat.gr.2228.pt.1_0426_fa_0210v.tif,0034_Vat.gr.2228.pt.1_0426_fa_0210v.xml,12866292,2174,2996,FINAL,42
35,108451485,211r,0035_Vat.gr.2228.pt.1_0427_fa_0211r.tif,0035_Vat.gr.2228.pt.1_0427_fa_0211r.xml,12866292,2174,2996,FINAL,42
36,108451486,211v,0036_Vat.gr.2228.pt.1_0428_fa_0211v.tif,0036_Vat.gr.2228.pt.1_0428_fa_0211v.xml,12866292,2174,2996,FINAL,42
37,108451432,212r,0037_Vat.gr.2228.pt.1_0429_fa_0212r.tif,0037_Vat.gr.2228.pt.1_0429_fa_0212r.xml,12866292,2174,2996,FINAL,41
38,108451433,212v,0038_Vat.gr.2228.pt.1_0430_fa_0212v.tif,0038_Vat.gr.2228.pt.1_0430_fa_0212v.xml,12866292,2174,2996,FINAL,42
39,108451487,213r,0039_Vat.gr.2228.pt.1_0431_fa_0213r.tif,0039_Vat.gr.2228.pt.1_0431_fa_0213r.xml,12866292,2174,2996,FINAL,42
40,108451366,213v,0040_Vat.gr.2228.pt.1_0432_fa_0213v.tif,0040_Vat.gr.2228.pt.1_0432_fa_0213v.xml,12866292,2174,2996,FINAL,41
41,108451367,214r,0041_Vat.gr.2228.pt.1_0433_fa_0214r.tif,0041_Vat.gr.2228.pt.1_0433_fa_0214r.xml,12866292,2174,2996,FINAL,41
42,108451488,214v,0042_Vat.gr.2228.pt.1_0434_fa_0214v.tif,0042_Vat.gr.2228.pt.1_0434_fa_0214v.xml,12866292,2174,2996,FINAL,41
43,108451368,215r,0043_Vat.gr.2228.pt.1_0435_fa_0215r.tif,0043_Vat.gr.2228.pt.1_0435_fa_0215r.xml,12866292,2174,2996,FINAL,41
44,108451369,215v,0044_Vat.gr.2228.pt.1_0436_fa_0215v.tif,0044_Vat.gr.2228.pt.1_0436_fa_0215v.xml,12866292,2174,2996,FINAL,41
45,108451489,216r,0045_Vat.gr.2228.pt.1_0437_fa_0216r.tif,0045_Vat.gr.2228.pt.1_0437_fa_0216r.xml,12866292,2174,2996,FINAL,43
46,108451490,216v,0046_Vat.gr.2228.pt.1_0438_fa_0216v.tif,0046_Vat.gr.2228.pt.1_0438_fa_0216v.xml,12866292,2174,2996,FINAL,41
47,108451370,217r,0047_Vat.gr.2228.pt.1_0439_fa_0217r.tif,0047_Vat.gr.2228.pt.1_0439_fa_0217r.xml,12866292,2174,2996,FINAL,41
48,108451491,217v,0048_Vat.gr.2228.pt.1_0440_fa_0217v.tif,0048_Vat.gr.2228.pt.1_0440_fa_0217v.xml,12866292,2174,2996,FINAL,40
49,108451492,218r,0049_Vat.gr.2228.pt.1_0441_fa_0218r.tif,0049_Vat.gr.2228.pt.1_0441_fa_0218r.xml,12866292,2174,2996,FINAL,40
50,108451371,218v,0050_Vat.gr.2228.pt.1_0442_fa_0218v.tif,0050_Vat.gr.2228.pt.1_0442_fa_0218v.xml,12866292,2174,2996,FINAL,40
51,108451372,219r,0051_Vat.gr.2228.pt.1_0443_fa_0219r.tif,0051_Vat.gr.2228.pt.1_0443_fa_0219r.xml,12866292,2174,2996,FINAL,41
52,108451493,219v,0052_Vat.gr.2228.pt.1_0444_fa_0219v.tif,0052_Vat.gr.2228.pt.1_0444_fa_0219v.xml,12866292,2174,2996,FINAL,41
53,108451373,220r,0053_Vat.gr.2228.pt.1_0445_fa_0220r.tif,0053_Vat.gr.2228.pt.1_0445_fa_0220r.xml,12866292,2174,2996,FINAL,41
54,108451494,220v,0054_Vat.gr.2228.pt.1_0446_fa_0220v.tif,0054_Vat.gr.2228.pt.1_0446_fa_0220v.xml,12866292,2174,2996,FINAL,42
55,108451374,221r,0055_Vat.gr.2228.pt.1_0447_fa_0221r.tif,0055_Vat.gr.2228.pt.1_0447_fa_0221r.xml,12866292,2174,2996,FINAL,43
56,108451375,221v,0056_Vat.gr.2228.pt.1_0448_fa_0221v.tif,0056_Vat.gr.2228.pt.1_0448_fa_0221v.xml,12866292,2174,2996,FINAL,44
57,108451434,222r,0057_Vat.gr.2228.pt.1_0449_fa_0222r.tif,0057_Vat.gr.2228.pt.1_0449_fa_0222r.xml,12866292,2174,2996,FINAL,41
58,108451435,222v,0058_Vat.gr.2228.pt.1_0450_fa_0222v.tif,0058_Vat.gr.2228.pt.1_0450_fa_0222v.xml,12866292,2174,2996,FINAL,42
59,108451495,223r,0059_Vat.gr.2228.pt.1_0451_fa_0223r.tif,0059_Vat.gr.2228.pt.1_0451_fa_0223r.xml,12866292,2174,2996,FINAL,42
60,108451496,223v,0060_Vat.gr.2228.pt.1_0452_fa_0223v.tif,0060_Vat.gr.2228.pt.1_0452_fa_0223v.xml,12866292,2174,2996,FINAL,40
61,108451436,224r,0061_Vat.gr.2228.pt.1_0453_fa_0224r.tif,0061_Vat.gr.2228.pt.1_0453_fa_0224r.xml,12866292,2174,2996,FINAL,42
62,108451497,224v,0062_Vat.gr.2228.pt.1_0454_fa_0224v.tif,0062_Vat.gr.2228.pt.1_0454_fa_0224v.xml,12866292,2174,2996,FINAL,42
63,108451498,225r,0063_Vat.gr.2228.pt.1_0455_fa_0225r.tif,0063_Vat.gr.2228.pt.1_0455_fa_0225r.xml,12866292,2174,2996,FINAL,42
64,108451437,225v,0064_Vat.gr.2228.pt.1_0456_fa_0225v.tif,0064_Vat.gr.2228.pt.1_0456_fa_0225v.xml,12866292,2174,2996,FINAL,41
65,108451438,226r,0065_Vat.gr.2228.pt.1_0457_fa_0226r.tif,0065_Vat.gr.2228.pt.1_0457_fa_0226r.xml,12866292,2174,2996,FINAL,41
66,108451499,226v,0066_Vat.gr.2228.pt.1_0458_fa_0226v.tif,0066_Vat.gr.2228.pt.1_0458_fa_0226v.xml,12866292,2174,2996,FINAL,42
67,108451439,227r,0067_Vat.gr.2228.pt.1_0459_fa_0227r.tif,0067_Vat.gr.2228.pt.1_0459_fa_0227r.xml,12866292,2174,2996,FINAL,42
68,108451440,227v,0068_Vat.gr.2228.pt.1_0460_fa_0227v.tif,0068_Vat.gr.2228.pt.1_0460_fa_0227v.xml,12866292,2174,2996,FINAL,42
69,108451500,228r,0069_Vat.gr.2228.pt.1_0461_fa_0228r.tif,0069_Vat.gr.2228.pt.1_0461_fa_0228r.xml,12866292,2174,2996,FINAL,41
70,108451501,228v,0070_Vat.gr.2228.pt.1_0462_fa_0228v.tif,0070_Vat.gr.2228.pt.1_0462_fa_0228v.xml,12866292,2174,2996,FINAL,41
71,108451441,229r,0071_Vat.gr.2228.pt.1_0463_fa_0229r.tif,0071_Vat.gr.2228.pt.1_0463_fa_0229r.xml,12866292,2174,2996,FINAL,41
72,108451442,229v,0072_Vat.gr.2228.pt.1_0464_fa_0229v.tif,0072_Vat.gr.2228.pt.1_0464_fa_0229v.xml,12866292,2174,2996,FINAL,43
73,108451376,230r,0073_Vat.gr.2228.pt.1_0465_fa_0230r.tif,0073_Vat.gr.2228.pt.1_0465_fa_0230r.xml,12866292,2174,2996,FINAL,43
74,108451502,230v,0074_Vat.gr.2228.pt.1_0466_fa_0230v.tif,0074_Vat.gr.2228.pt.1_0466_fa_0230v.xml,12866292,2174,2996,FINAL,44
75,108451503,231r,0075_Vat.gr.2228.pt.1_0467_fa_0231r.tif,0075_Vat.gr.2228.pt.1_0467_fa_0231r.xml,12866292,2174,2996,FINAL,42
76,108451377,231v,0076_Vat.gr.2228.pt.1_0468_fa_0231v.tif,0076_Vat.gr.2228.pt.1_0468_fa_0231v.xml,12866292,2174,2996,FINAL,42
77,108451378,232r,0077_Vat.gr.2228.pt.1_0469_fa_0232r.tif,0077_Vat.gr.2228.pt.1_0469_fa_0232r.xml,12866292,2174,2996,FINAL,42
78,108451443,232v,0078_Vat.gr.2228.pt.1_0470_fa_0232v.tif,0078_Vat.gr.2228.pt.1_0470_fa_0232v.xml,12866292,2174,2996,FINAL,41
79,108451504,233r,0079_Vat.gr.2228.pt.1_0471_fa_0233r.tif,0079_Vat.gr.2228.pt.1_0471_fa_0233r.xml,12866292,2174,2996,FINAL,45
80,108451444,233v,0080_Vat.gr.2228.pt.1_0472_fa_0233v.tif,0080_Vat.gr.2228.pt.1_0472_fa_0233v.xml,12866292,2174,2996,FINAL,44
81,108451525,234r,0081_Vat.gr.2228.pt.1_0473_fa_0234r.tif,0081_Vat.gr.2228.pt.1_0473_fa_0234r.xml,12866292,2174,2996,FINAL,42
82,108451545,234v,0082_Vat.gr.2228.pt.1_0474_fa_0234v.tif,0082_Vat.gr.2228.pt.1_0474_fa_0234v.xml,12866292,2174,2996,FINAL,40
83,108451526,235r,0083_Vat.gr.2228.pt.1_0475_fa_0235r.tif,0083_Vat.gr.2228.pt.1_0475_fa_0235r.xml,12866292,2174,2996,FINAL,41
84,108451546,235v,0084_Vat.gr.2228.pt.1_0476_fa_0235v.tif,0084_Vat.gr.2228.pt.1_0476_fa_0235v.xml,12866292,2174,2996,FINAL,41
85,108451527,236r,0085_Vat.gr.2228.pt.1_0477_fa_0236r.tif,0085_Vat.gr.2228.pt.1_0477_fa_0236r.xml,12866292,2174,2996,FINAL,42
86,108451547,236v,0086_Vat.gr.2228.pt.1_0478_fa_0236v.tif,0086_Vat.gr.2228.pt.1_0478_fa_0236v.xml,12866292,2174,2996,FINAL,41
87,108451548,237r,0087_Vat.gr.2228.pt.1_0479_fa_0237r.tif,0087_Vat.gr.2228.pt.1_0479_fa_0237r.xml,12866292,2174,2996,FINAL,43
88,108451528,237v,0088_Vat.gr.2228.pt.1_0480_fa_0237v.tif,0088_Vat.gr.2228.pt.1_0480_fa_0237v.xml,12866292,2174,2996,FINAL,43
89,108451529,238r,0089_Vat.gr.2228.pt.1_0481_fa_0238r.tif,0089_Vat.gr.2228.pt.1_0481_fa_0238r.xml,12866292,2174,2996,FINAL,41
90,108451549,238v,0090_Vat.gr.2228.pt.1_0482_fa_0238v.tif,0090_Vat.gr.2228.pt.1_0482_fa_0238v.xml,12866292,2174,2996,FINAL,39
91,108451379,239r,0091_Vat.gr.2228.pt.1_0483_fa_0239r.tif,0091_Vat.gr.2228.pt.1_0483_fa_0239r.xml,12866292,2174,2996,FINAL,42
92,108451550,239v,0092_Vat.gr.2228.pt.1_0484_fa_0239v.tif,0092_Vat.gr.2228.pt.1_0484_fa_0239v.xml,12866292,2174,2996,FINAL,41
93,108451380,240r,0093_Vat.gr.2228.pt.1_0485_fa_0240r.tif,0093_Vat.gr.2228.pt.1_0485_fa_0240r.xml,12866292,2174,2996,FINAL,40
94,108451381,240v,0094_Vat.gr.2228.pt.1_0486_fa_0240v.tif,0094_Vat.gr.2228.pt.1_0486_fa_0240v.xml,12866292,2174,2996,FINAL,42
95,108451551,241r,0095_Vat.gr.2228.pt.1_0487_fa_0241r.tif,0095_Vat.gr.2228.pt.1_0487_fa_0241r.xml,12866292,2174,2996,FINAL,41
96,108451382,241v,0096_Vat.gr.2228.pt.1_0488_fa_0241v.tif,0096_Vat.gr.2228.pt.1_0488_fa_0241v.xml,12866292,2174,2996,FINAL,41
97,108451383,242r,0097_Vat.gr.2228.pt.1_0489_fa_0242r.tif,0097_Vat.gr.2228.pt.1_0489_fa_0242r.xml,12866292,2174,2996,FINAL,41
98,108451552,242v,0098_Vat.gr.2228.pt.1_0490_fa_0242v.tif,0098_Vat.gr.2228.pt.1_0490_fa_0242v.xml,12866292,2174,2996,FINAL,41
99,108451384,243r,0099_Vat.gr.2228.pt.1_0491_fa_0243r.tif,0099_Vat.gr.2228.pt.1_0491_fa_0243r.xml,12866292,2174,2996,FINAL,41
100,108451553,243v,0100_Vat.gr.2228.pt.1_0492_fa_0243v.tif,0100_Vat.gr.2228.pt.1_0492_fa_0243v.xml,12866292,2174,2996,FINAL,43
101,108451554,244r,0101_Vat.gr.2228.pt.1_0493_fa_0244r.tif,0101_Vat.gr.2228.pt.1_0493_fa_0244r.xml,12866292,2174,2996,FINAL,42
102,108451565,244v,0102_Vat.gr.2228.pt.1_0494_fa_0244v.tif,0102_Vat.gr.2228.pt.1_0494_fa_0244v.xml,12866292,2174,2996,FINAL,40
103,108451555,245r,0103_Vat.gr.2228.pt.1_0495_fa_0245r.tif,0103_Vat.gr.2228.pt.1_0495_fa_0245r.xml,12866292,2174,2996,FINAL,41
104,108451566,245v,0104_Vat.gr.2228.pt.1_0496_fa_0245v.tif,0104_Vat.gr.2228.pt.1_0496_fa_0245v.xml,12866292,2174,2996,FINAL,40
105,108451556,246r,0105_Vat.gr.2228.pt.1_0497_fa_0246r.tif,0105_Vat.gr.2228.pt.1_0497_fa_0246r.xml,12866292,2174,2996,FINAL,39
106,108451567,246v,0106_Vat.gr.2228.pt.1_0498_fa_0246v.tif,0106_Vat.gr.2228.pt.1_0498_fa_0246v.xml,12866292,2174,2996,FINAL,41
107,108451557,247r,0107_Vat.gr.2228.pt.1_0499_fa_0247r.tif,0107_Vat.gr.2228.pt.1_0499_fa_0247r.xml,12866292,2174,2996,FINAL,41
108,108451568,247v,0108_Vat.gr.2228.pt.1_0500_fa_0247v.tif,0108_Vat.gr.2228.pt.1_0500_fa_0247v.xml,12866292,2174,2996,FINAL,42
109,108451569,248r,0109_Vat.gr.2228.pt.1_0501_fa_0248r.tif,0109_Vat.gr.2228.pt.1_0501_fa_0248r.xml,12866292,2174,2996,FINAL,42
110,108451558,248v,0110_Vat.gr.2228.pt.1_0502_fa_0248v.tif,0110_Vat.gr.2228.pt.1_0502_fa_0248v.xml,12866292,2174,2996,FINAL,42
111,108451570,249r,0111_Vat.gr.2228.pt.1_0503_fa_0249r.tif,0111_Vat.gr.2228.pt.1_0503_fa_0249r.xml,12866292,2174,2996,FINAL,40
112,108451571,249v,0112_Vat.gr.2228.pt.1_0504_fa_0249v.tif,0112_Vat.gr.2228.pt.1_0504_fa_0249v.xml,12866292,2174,2996,FINAL,39
113,108451572,250r,0113_Vat.gr.2228.pt.1_0505_fa_0250r.tif,0113_Vat.gr.2228.pt.1_0505_fa_0250r.xml,12866292,2174,2996,FINAL,39
114,108451559,250v,0114_Vat.gr.2228.pt.1_0506_fa_0250v.tif,0114_Vat.gr.2228.pt.1_0506_fa_0250v.xml,12866292,2174,2996,FINAL,41
115,108451560,251r,0115_Vat.gr.2228.pt.1_0507_fa_0251r.tif,0115_Vat.gr.2228.pt.1_0507_fa_0251r.xml,12866292,2174,2996,FINAL,41
116,108451573,251v,0116_Vat.gr.2228.pt.1_0508_fa_0251v.tif,0116_Vat.gr.2228.pt.1_0508_fa_0251v.xml,12866292,2174,2996,FINAL,39
117,108451561,252r,0117_Vat.gr.2228.pt.1_0509_fa_0252r.tif,0117_Vat.gr.2228.pt.1_0509_fa_0252r.xml,12866292,2174,2996,FINAL,41
118,108451574,252v,0118_Vat.gr.2228.pt.1_0510_fa_0252v.tif,0118_Vat.gr.2228.pt.1_0510_fa_0252v.xml,12866292,2174,2996,FINAL,40
119,108451562,253r,0119_Vat.gr.2228.pt.1_0511_fa_0253r.tif,0119_Vat.gr.2228.pt.1_0511_fa_0253r.xml,12866292,2174,2996,FINAL,40
120,108451575,253v,0120_Vat.gr.2228.pt.1_0512_fa_0253v.tif,0120_Vat.gr.2228.pt.1_0512_fa_0253v.xml,12866292,2174,2996,FINAL,40
121,108451563,254r,0121_Vat.gr.2228.pt.1_0513_fa_0254r.tif,0121_Vat.gr.2228.pt.1_0513_fa_0254r.xml,12866292,2174,2996,FINAL,40
122,108451564,254v,0122_Vat.gr.2228.pt.1_0514_fa_0254v.tif,0122_Vat.gr.2228.pt.1_0514_fa_0254v.xml,12866292,2174,2996,FINAL,39
123,108451585,255r,0123_Vat.gr.2228.pt.1_0515_fa_0255r.tif,0123_Vat.gr.2228.pt.1_0515_fa_0255r.xml,12866292,2174,2996,FINAL,41
124,108451577,255v,0124_Vat.gr.2228.pt.1_0516_fa_0255v.tif,0124_Vat.gr.2228.pt.1_0516_fa_0255v.xml,12866292,2174,2996,FINAL,43
125,108451578,256r,0125_Vat.gr.2228.pt.1_0517_fa_0256r.tif,0125_Vat.gr.2228.pt.1_0517_fa_0256r.xml,12866292,2174,2996,FINAL,42
